SurP,Gender,Ethnicity,HS GPA,Units_Passed_1_yr,Year,First-time, Full-time,Ret_1_yr_Surp,Ret_or_Grad_1_yr_Surp,GPA_1_yr,Advising,Tutoring
ID1000,Women,Happy,0,6,2017,N,NULL,NULL,3.506,Yes,No
ID1000,Women,Happy,0,12,2019,N,ID1000,ID1000,3.559,No,No
ID1000,Women,Happy,0,18,2020,N,ID1000,ID1000,3.619,No,No
ID1000,Women,Happy,0,22,2014,N,ID1000,ID1000,3.185,No,Yes
ID1000,Women,Happy,0,22,2016,N,ID1000,ID1000,3.497,Yes,No
ID1000,Women,Happy,0,25,2015,N,ID1000,ID1000,3.379,No,Yes
ID10006,Men,Excited,0,4,2014,N,NULL,NULL,2.395,Yes,No
ID1000663,Men,Sad,0,18,2020,N,ID1000663,ID1000663,3.352,No,No
ID1000763,Men,Sad,0,3,2014,N,NULL,NULL,1.242,No,No
ID1000860,Women,Sad,0,27,2018,N,ID1000860,ID1000860,3.005,Yes,No
ID1000860,Women,Sad,0,29,2016,N,ID1000860,ID1000860,2.654,Yes,No
ID1000860,Women,Sad,0,29,2017,N,ID1000860,ID1000860,2.848,Yes,No
ID1001,Women,Sad,0,9,2014,N,NULL,NULL,2.052,No,No
ID1001011,Women,Scared,0,13,2019,N,ID1001011,ID1001011,3.416,Yes,No
ID1001011,Women,Scared,0,24,2020,N,ID1001011,ID1001011,3.484,Yes,No
ID1001696,Women,Sad,0,9,2015,N,NULL,NULL,3.085,No,No
ID1001696,Women,Sad,0,15,2018,N,ID1001696,ID1001696,3.173,No,No
ID10017,Women,Happy,0,14,2014,N,NULL,NULL,3.021,No,No
ID1002016,Women,Sad,0,12,2020,N,ID1002016,ID1002016,3.92,No,No
ID1002016,Women,Sad,0,18,2019,N,ID1002016,ID1002016,3.95,No,No
ID10025,Women,Sad,0,10,2014,N,NULL,NULL,3.233,No,No
ID1002939,Women,Sad,0,0,2015,N,NULL,NULL,2.266,No,No
ID1002944,Women,Sad,0,3,2016,N,NULL,NULL,3.284,No,No
ID10031,Men,Sad,0,12,2014,N,ID10031,ID10031,3.176,No,No
ID1003560,Men,Surprised,0,0,2016,N,NULL,NULL,0,No,No
ID1003831,Women,Scared,0,20,2017,N,ID1003831,ID1003831,3.177,Yes,No
ID1003831,Women,Scared,0,40,2018,N,ID1003831,ID1003831,3.214,No,No
ID1003929,Women,Happy,0,12,2017,N,ID1003929,ID1003929,3.187,No,No
ID1003929,Women,Happy,0,18,2015,N,ID1003929,ID1003929,3.093,Yes,No
ID1003929,Women,Happy,0,35,2016,N,ID1003929,ID1003929,3.187,No,No
ID10041,Women,Sad,0,6,2014,N,ID10041,ID10041,3.578,No,No
ID10041,Women,Sad,0,6,2015,N,NULL,NULL,3.591,No,No
ID1004150,Women,Scared,0,4,2015,N,NULL,NULL,2.8,No,No
ID1004191,Women,Sad,0,0,2014,N,NULL,NULL,0,No,No
ID1004296,Women,Excited,0,6,2017,N,NULL,NULL,4,No,No
ID1004595,Women,Sad,3.13,23,2018,N,NULL,NULL,2.929,No,No
ID1004595,Women,Sad,3.13,24,2017,N,ID1004595,ID1004595,2.865,No,No
